question,answer
"User environment variables no longer getting picked up after upgrade to 4.1.1.1 or 4.1.1.2?



Have you found that after upgrade to Streams 4.1.1.1 or 4.1.1.2, that environment variables set in your .bashrc are no longer being set? For example ODBCINI is not set for the database toolkit and you get

     An SQL operation failed. The SQL state is 08003, the SQL code
     is 0 and the SQL message is [unixODBC][Driver
     Manager]Connnection does not exist.
","To work around the issue, set environment variables that are needed by the application directly in the instance with:  * 
   
 * streamtool setproperty
 * -d <domain> -i <instance>
   --application-ev <VARIABLE NAME>=<VARIABLE VALUE>"
"Netcool/Impact (all versions): How is the Exit() action function expected to work with User Defined Functions?

Netcool/Impact (all versions)

Using the Exit() action function within a User Defined Function in a Policy will not exit the Policy process.",This is because the Exit() parser function in IPL is designed to exit the immediate scope. To carry the action outside of the User Defined Function to the Policy level one would have to set a variable that is then tested immediately after the User Defined Function call
"Why are replies going to the DLQ with reason 2189 MQRC_CLUSTER_RESOLUTION_ERROR

I have changed my cluster receiver to match the IP address used and now I am seeing replies in my DLQ with 2189 MQRC_CLUSTER_RESOLUTION_ERROR. The reply queue is on a different cluster which this qmgr is a member of. The reply message uses replytoqmgr and queue name. The qmgr should see the replytoqmgr in the cluster and get the message over to the queue, but instead goes to dead letter queue. This queue manager is a repository to one cluster and a member of another. ",-
"How to configure SSL mutual authentication in IBM HTTP Server?



We are running IHS v7 and our application team has a specific webservice that they require SSL mutual authentication to be enabled for at the http server. Does anyone know how to set this up on IHS? Or any documentation?

Thanks
","The following steps help guide you through the proper set up of SSL within the IBM HTTP Server: 

 1. Confirm that the Global Security Kit (GSKit) is installed and meets the minimum requirements
    
    
 2. Create a key database file and certificates needed to authenticate the Web server during an SSL handshake
    
    
 3. Enable SSL directives within the IBM HTTP Server configuration file (httpd.conf)
    
    
 4. Other considerations when enabling SSL directives within the IBM HTTP Server configuration file (httpd.conf)
    
    
 5. Information that IBM WebSphere® Support needs to debug SSL configuration and certificate issues related to the IBM HTTP Server"
"Help with Action required for IIB H.E. V9 & WMB H.E. V8 for security vulnerabilities in Red Hat Linux (CVE-2018-6551 CVE-2018-6485)



I need to understand details regarding Action required for IBM Integration Bus Hypervisor Edition V9.0 and WebSphere Message Broker Hypervisor Edition V8.0 for security vulnerabilities in Red Hat Linux.
This is related to CVE-IDs:
CVE-2018-6551
CVE-2018-6485

Where can I find this information?",-
"What happened to load.rules FAQ example?

The load.rules maths function example rules file does not appear to be available anymore? ",Netcool Technical Support Guide to rules file processing is provided as a collection of commonly used rules file techniques.
"Is ITNM exposed to Apache CXF vulnerability (CVE-2017-3156)?

Is ITNM versions are affected by Apache CXF vulnerability (CVE-2017-3156), If yes then what are all the version will be affected and where I can find the details?","CVEID: CVE-2017-3156 [http://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2017-3156]
DESCRIPTION: Apache CXF could provide weaker than expected security, caused by the failure to use the OAuth2 Hawk and JOSE MAC Validation code. A remote attacker could exploit this vulnerability using timing attacks to obtain sensitive information.
CVSS Base Score: 5.9
CVSS Temporal Score: See https://exchange.xforce.ibmcloud.com/vulnerabilities/130249 [https://exchange.xforce.ibmcloud.com/vulnerabilities/130249] for the current score
CVSS Environmental Score*: Undefined
CVSS Vector: (CVSS:3.0/AV:N/AC:H/PR:N/UI:N/S:U/C:H/I:N/A:N)"
"Why do I get an exception when calling MQ after migrating my BPM environment (2035 MQRC_NOT_AUTHORIZED) ?



We migrated our BPM environment from V8.0 to 8.5.7. When we attempt to call the MQ service we are getting the following exception:

     [10/16/17 13:50:05:273 AST] 0000026d SystemOut     O
     com.ibm.msg.client.jms.DetailedJMSSecurityException: JMSWMQ2013: The
     security authentication was not valid that was supplied for QueueManager
     'QM1' with connection mode 'Client' and host name 'MQ1(1414)'.
     Please check if the supplied username and password are correct on the
     QueueManager to which you are connecting.
     ...
     Caused by: com.ibm.mq.MQException: JMSCMQ0001: WebSphere MQ call failed
     with compcode '2' ('MQCC_FAILED') reason '2035' ('MQRC_NOT_AUTHORIZED').
      at
     com.ibm.msg.client.wmq.common.internal.Reason.createException(Reason.jav
     a:204)
      ... 162 more

The same MQ service is working fine in the old BPM environment. User name and password configured for the queue is correct. However, when we check the MQ logs, we observing the username is not used, instead the sys admin user seems to be used.","Default component-managed authentication alias for outbound connections 

For cases where it is impractical to change the application to use container-managed security, or to change it to supply a username and password directly on the createConnection call, it is possible to supply a default. 

This default is called the ""component-managed authentication alias"" and cannot be configured via the administrative console (since WebSphere Application Server Version 7.0 when it was removed from the panels MQ connection factories). The below scripting samples show how to configure it using wsadmin: 

 * JACL:
   wsadmin>set cell [ $AdminConfig getid ""/Cell:mycell"" ]
   
   mycell(cells/mycell|cell.xml#Cell_1)
   
   wsadmin>$AdminTask listWMQConnectionFactories $cell
   
   MyCF(cells/mycell|resources.xml#MQConnectionFactory_1247500675104)
   
   wsadmin>$AdminTask modifyWMQConnectionFactory MyCF(cells/mycell|resources.xml#MQConnectionFactory_1247500675104) { -componentAuthAlias myalias }
   
   MyCF(cells/mycell|resources.xml#MQConnectionFactory_1247500675104) 
 * Jython:
   wsadmin>cell = AdminConfig.getid(""/Cell:mycell"")
   
   wsadmin>AdminTask.listWMQConnectionFactories(cell)
   
   'MyCF(cells/mycell|resources.xml#MQConnectionFactory_1247500675104)'
   
   wsadmin>AdminTask.modifyWMQConnectionFactory('MyCF(cells/mycell|resos urces.xml#MQConnectionFactory_1247500675104)', ""-componentAuthAlias myalias"")
   
   'MyCF(cells/mycell|resources.xml#MQConnectionFactory_1247500675104)'"
"Is the Requisite Pro (ReqPro) feature/plugin supported with a 64-bit RAD/RSA(4WS) 851+ installation

Is the Requisite Pro (ReqPro) feature/plugin supported with a 64-bit install of RAD/RSA(4WS) 851? ",the Rational RequisitePro integration features/plugins are not supported or provided. These are only available as 32-bit eclipse plugins.
"Unable to locate the More tab of Document class - Property definition tab - property template configuration to update Is Required setting.

Unable to locate the More tab of Document class - Property definition tab - property template configuration to update Is Required setting. Environment is running on Content Engine 5.2.0.3. ","Follow the below steps to update the property definition properties on ACCE: 




 1. Launch ACCE 
 2. Expand the object stores folder and click the object store to open the Object store tab 
 3. Expand the Data Design folder and Classes folder. Click the document class to open Document Class tab 
 4. From Properties tab, open Property Definitions drop down and select the property definition you want to modify 
 5. ACCE will open that property definition in a new Properties tab 
 6. Modify the property definition as required 
 7. Go back to the Class Definition tab and click Save"
